Variables = x, y, u, v, p

Zone, I=1000, F=POINT
         500            0  4.64375e-15 -2.90093e-25  -0.00551818 
         500      8.53472     0.996158    0.0010769  -0.00551549 
         500      8.58544     0.996159   0.00107757  -0.00551547 
         500      8.63632     0.996161   0.00107822  -0.00551548 
         500      8.68735     0.996162   0.00107885  -0.00551551 
         500      8.73852     0.996163   0.00107943  -0.00551555 
         500      8.78985     0.996164   0.00107996  -0.00551559 
         500      8.84133     0.996164   0.00108043  -0.00551563 
         500      8.89296     0.996164   0.00108085  -0.00551566 
         500      8.94474     0.996164   0.00108124  -0.00551568 
         500      8.99667     0.996164   0.00108159  -0.00551568 
         500      9.04875     0.996164   0.00108193  -0.00551567 
         500      9.10097     0.996164   0.00108227  -0.00551565 
         500      9.15335     0.996163   0.00108263  -0.00551562 
         500      9.20588     0.996163   0.00108303  -0.00551558 
         500      9.25856     0.996164   0.00108348  -0.00551553 
         500      9.31139     0.996164     0.001084  -0.00551547 
         500      9.36438     0.996164   0.00108457  -0.00551541 
         500      9.41751     0.996165   0.00108521  -0.00551535 
         500      9.47079     0.996165   0.00108591  -0.00551529 
         500      9.52422     0.996166   0.00108665  -0.00551523 
         500       9.5778     0.996166   0.00108742  -0.00551517 
         500      9.63153     0.996167   0.00108821  -0.00551512 
         500      9.68542     0.996168   0.00108898  -0.00551507 
         500      9.73945     0.996168   0.00108971  -0.00551503 
         500      9.79363     0.996169   0.00109039  -0.00551499 
         500      9.84797     0.996169     0.001091  -0.00551497 
         500      9.90245      0.99617   0.00109153  -0.00551494 
         500      9.95708      0.99617   0.00109199  -0.00551493 
         500      10.0119      0.99617   0.00109237  -0.00551492 
         500      10.0668      0.99617    0.0010927  -0.00551491 
         500      10.1219      0.99617   0.00109301  -0.00551491 
         500      10.1771      0.99617   0.00109334  -0.00551491 
         500      10.2325      0.99617   0.00109373  -0.00551491 
         500       10.288      0.99617   0.00109423  -0.00551492 
         500      10.3437      0.99617   0.00109488  -0.00551492 
         500      10.3996     0.996171   0.00109568  -0.00551492 
         500      10.4556     0.996171   0.00109661  -0.00551491 
         500      10.5117     0.996172   0.00109759  -0.00551489 
         500       10.568     0.996173   0.00109845  -0.00551486 
         500      10.6244     0.996175   0.00109889  -0.00551482 
         500       10.681     0.996176   0.00109847  -0.00551475 
         500      10.7377     0.996179   0.00109839  -0.00551467 
         500      10.7946     0.996183   0.00110032  -0.00551461 
         500      10.8517     0.996184   0.00110126  -0.00551455 
