Variables = x, y, u, v, p

Zone, I=1000, F=POINT
         -30            0  3.60992e-16 -1.75494e-28  -0.00931558 
         -30      4.81028     0.999919   0.00159788  -0.00930116 
         -30      4.84838     0.999919   0.00159804    -0.009301 
         -30      4.88663      0.99992   0.00159821  -0.00930083 
         -30      4.92504      0.99992   0.00159838  -0.00930066 
         -30      4.96359     0.999921   0.00159855  -0.00930049 
         -30      5.00229     0.999921   0.00159872  -0.00930032 
         -30      5.04114     0.999922   0.00159889  -0.00930015 
         -30      5.08014     0.999922   0.00159907  -0.00929998 
         -30       5.1193     0.999922   0.00159924  -0.00929981 
         -30       5.1586     0.999923   0.00159942  -0.00929965 
         -30      5.19806     0.999923    0.0015996  -0.00929949 
         -30      5.23766     0.999923   0.00159979  -0.00929933 
         -30      5.27741     0.999923   0.00159997  -0.00929916 
         -30      5.31732     0.999923   0.00160015    -0.009299 
         -30      5.35737     0.999923   0.00160034  -0.00929884 
         -30      5.39758     0.999924   0.00160053  -0.00929868 
         -30      5.43793     0.999924   0.00160072  -0.00929851 
         -30      5.47844     0.999924   0.00160091  -0.00929835 
         -30       5.5191     0.999924    0.0016011  -0.00929818 
         -30       5.5599     0.999925   0.00160128  -0.00929802 
         -30      5.60086     0.999925   0.00160145  -0.00929786 
         -30      5.64197     0.999926   0.00160161   -0.0092977 
         -30      5.68322     0.999926   0.00160182  -0.00929752 
         -30      5.72463     0.999926   0.00160203  -0.00929734 
         -30      5.76619     0.999927   0.00160223  -0.00929716 
         -30       5.8079     0.999927   0.00160241  -0.00929698 
         -30      5.84976     0.999927   0.00160259  -0.00929681 
         -30      5.89177     0.999927   0.00160276  -0.00929663 
         -30      5.93393     0.999928   0.00160293  -0.00929646 
         -30      5.97623     0.999928    0.0016031  -0.00929629 
         -30      6.01869     0.999928   0.00160327  -0.00929611 
         -30       6.0613     0.999929   0.00160344  -0.00929593 
         -30      6.10406     0.999929   0.00160362  -0.00929575 
         -30      6.14698     0.999929   0.00160381  -0.00929557 
         -30      6.19004     0.999929   0.00160401  -0.00929539 
         -30      6.23325      0.99993   0.00160421  -0.00929521 
         -30      6.27661      0.99993   0.00160441  -0.00929502 
         -30      6.32012      0.99993   0.00160462  -0.00929484 
         -30      6.36378     0.999931   0.00160482  -0.00929465 
         -30      6.40759     0.999931   0.00160502  -0.00929446 
         -30      6.45156     0.999931   0.00160522  -0.00929428 
         -30      6.49567     0.999931   0.00160541  -0.00929409 
         -30      6.53993     0.999932    0.0016056  -0.00929391 
         -30      6.58435     0.999932   0.00160578  -0.00929372 
         -30      6.62891     0.999932   0.00160595  -0.00929354 
         -30      6.67363     0.999932   0.00160612  -0.00929336 
         -30      6.71849     0.999932   0.00160629  -0.00929318 
         -30      6.76351     0.999933   0.00160646    -0.009293 
         -30      6.80867     0.999933   0.00160663  -0.00929282 
         -30      6.85399     0.999933   0.00160681  -0.00929264 
         -30      6.89945     0.999933   0.00160701  -0.00929246 
         -30      6.94507     0.999934   0.00160721  -0.00929228 
         -30      6.99083     0.999934   0.00160741   -0.0092921 
         -30      7.03675     0.999934   0.00160761  -0.00929191 
         -30      7.08282     0.999935   0.00160779  -0.00929172 
         -30      7.12904     0.999935   0.00160792  -0.00929152 
         -30       7.1754     0.999935   0.00160816  -0.00929133 
         -30      7.22192     0.999935    0.0016084  -0.00929115 
         -30      7.26859     0.999936   0.00160862  -0.00929096 
         -30      7.31541     0.999936   0.00160882  -0.00929076 
         -30      7.36238     0.999936   0.00160901  -0.00929057 
         -30       7.4095     0.999937   0.00160919  -0.00929038 
         -30      7.45677     0.999937   0.00160937  -0.00929018 
         -30      7.50418     0.999937   0.00160954  -0.00928999 
         -30      7.55175     0.999937    0.0016097  -0.00928981 
         -30      7.59948     0.999937   0.00160987  -0.00928962 
         -30      7.64735     0.999937   0.00161005  -0.00928944 
         -30      7.69537     0.999937   0.00161024  -0.00928925 
         -30      7.74354     0.999938   0.00161046  -0.00928905 
         -30      7.79186     0.999938   0.00161065  -0.00928885 
         -30      7.84033     0.999939   0.00161083  -0.00928866 
         -30      7.88895     0.999939   0.00161103  -0.00928846 
         -30      7.93773     0.999939   0.00161125  -0.00928826 
         -30      7.98665     0.999939   0.00161147  -0.00928806 
         -30      8.03572      0.99994   0.00161168  -0.00928786 
         -30      8.08494      0.99994   0.00161189  -0.00928765 
         -30      8.13432      0.99994    0.0016121  -0.00928745 
         -30      8.18384      0.99994   0.00161229  -0.00928725 
         -30      8.23352      0.99994   0.00161248  -0.00928704 
         -30      8.28334     0.999941   0.00161267  -0.00928684 
         -30      8.33332     0.999941   0.00161285  -0.00928663 
         -30      8.38344     0.999941   0.00161303  -0.00928643 
         -30      8.43372     0.999941   0.00161321  -0.00928622 
         -30      8.48414     0.999942    0.0016134  -0.00928602 
         -30      8.53472     0.999942   0.00161358  -0.00928581 
         -30      8.58544     0.999942   0.00161377  -0.00928561 
         -30      8.63632     0.999942   0.00161396  -0.00928541 
         -30      8.68735     0.999943   0.00161416  -0.00928521 
         -30      8.73852     0.999943   0.00161437  -0.00928498 
         -30      8.78985     0.999942    0.0016146  -0.00928475 
         -30      8.84133     0.999943   0.00161482  -0.00928452 
         -30      8.89296     0.999943   0.00161504   -0.0092843 
         -30      8.94474     0.999943   0.00161526  -0.00928408 
         -30      8.99667     0.999943   0.00161548  -0.00928387 
         -30      9.04875     0.999943    0.0016157  -0.00928366 
         -30      9.10097     0.999944   0.00161591  -0.00928345 
         -30      9.15335     0.999944   0.00161612  -0.00928324 
         -30      9.20588     0.999944   0.00161633  -0.00928304 
         -30      9.25856     0.999945   0.00161653  -0.00928283 
         -30      9.31139     0.999945   0.00161673  -0.00928262 
         -30      9.36438     0.999946   0.00161693  -0.00928242 
         -30      9.41751     0.999946   0.00161712  -0.00928221 
         -30      9.47079     0.999946   0.00161731    -0.009282 
         -30      9.52422     0.999946    0.0016175  -0.00928179 
         -30       9.5778     0.999947    0.0016177  -0.00928158 
         -30      9.63153     0.999947   0.00161789  -0.00928136 
         -30      9.68542     0.999947   0.00161808  -0.00928115 
         -30      9.73945     0.999947   0.00161828  -0.00928093 
         -30      9.79363     0.999947   0.00161847  -0.00928071 
         -30      9.84797     0.999947   0.00161867  -0.00928049 
         -30      9.90245     0.999947   0.00161888  -0.00928027 
         -30      9.95708     0.999947   0.00161909  -0.00928005 
         -30      10.0119     0.999947    0.0016193  -0.00927983 
         -30      10.0668     0.999947   0.00161952  -0.00927961 
         -30      10.1219     0.999947   0.00161973  -0.00927939 
         -30      10.1771     0.999947   0.00161995  -0.00927917 
         -30      10.2325     0.999948   0.00162017  -0.00927895 
         -30       10.288     0.999948   0.00162038  -0.00927873 
         -30      10.3437     0.999949   0.00162059   -0.0092785 
         -30      10.3996      0.99995    0.0016208  -0.00927828 
         -30      10.4556      0.99995     0.001621  -0.00927805 
         -30      10.5117      0.99995    0.0016212  -0.00927781 
         -30       10.568     0.999949   0.00162139  -0.00927757 
         -30      10.6244     0.999949   0.00162165  -0.00927735 
         -30       10.681     0.999949   0.00162187  -0.00927714 
         -30      10.7377     0.999949   0.00162206   -0.0092769 
         -30      10.7946     0.999949   0.00162223  -0.00927667 
         -30      10.8517      0.99995   0.00162241  -0.00927642 
         -30      10.9089      0.99995   0.00162261  -0.00927618 
         -30      10.9662      0.99995   0.00162283  -0.00927594 
         -30      11.0237     0.999951   0.00162307   -0.0092757 
         -30      11.0813     0.999951   0.00162331  -0.00927546 
         -30      11.1391     0.999951   0.00162356  -0.00927523 
         -30      11.1971     0.999952   0.00162381    -0.009275 
         -30      11.2552     0.999952   0.00162406  -0.00927478 
         -30      11.3134     0.999952   0.00162429  -0.00927455 
         -30      11.3718     0.999952    0.0016245  -0.00927433 
         -30      11.4303     0.999953    0.0016247  -0.00927411 
         -30       11.489     0.999953   0.00162489  -0.00927389 
         -30      11.5479     0.999953   0.00162506  -0.00927367 
         -30      11.6069     0.999953   0.00162522  -0.00927345 
         -30       11.666     0.999953   0.00162538  -0.00927322 
         -30      11.7253     0.999953   0.00162553  -0.00927299 
         -30      11.7847     0.999954   0.00162569  -0.00927276 
         -30      11.8443     0.999954   0.00162586  -0.00927253 
         -30      11.9041     0.999954   0.00162604  -0.00927229 
         -30       11.964     0.999954   0.00162623  -0.00927205 
         -30       12.024     0.999954   0.00162644  -0.00927181 
         -30      12.0842     0.999954   0.00162666  -0.00927156 
         -30      12.1446     0.999955    0.0016269  -0.00927131 
         -30       12.205     0.999955   0.00162715  -0.00927107 
         -30      12.2657     0.999955   0.00162741  -0.00927082 
         -30      12.3265     0.999955   0.00162768  -0.00927058 
         -30      12.3874     0.999955   0.00162794  -0.00927034 
         -30      12.4485     0.999956    0.0016282   -0.0092701 
         -30      12.5098     0.999956   0.00162846  -0.00926988 
         -30      12.5712     0.999956    0.0016287  -0.00926967 
         -30      12.6327     0.999957   0.00162892  -0.00926945 
         -30      12.6944     0.999957   0.00162912  -0.00926922 
         -30      12.7563     0.999957    0.0016293  -0.00926899 
         -30      12.8183     0.999957   0.00162946  -0.00926876 
         -30      12.8804     0.999957   0.00162961  -0.00926853 
         -30      12.9427     0.999957   0.00162975   -0.0092683 
         -30      13.0052     0.999957   0.00162988  -0.00926806 
         -30      13.0678     0.999957   0.00163002  -0.00926783 
         -30      13.1305     0.999957   0.00163017   -0.0092676 
         -30      13.1934     0.999957   0.00163034  -0.00926736 
         -30      13.2565     0.999958   0.00163054  -0.00926712 
         -30      13.3197     0.999958   0.00163078  -0.00926688 
         -30       13.383     0.999958   0.00163107  -0.00926664 
         -30      13.4465     0.999958   0.00163139  -0.00926639 
         -30      13.5102     0.999958   0.00163174  -0.00926613 
         -30       13.574     0.999958   0.00163208  -0.00926587 
         -30      13.6379     0.999959   0.00163236  -0.00926561 
         -30       13.702      0.99996   0.00163249  -0.00926533 
         -30      13.7663     0.999961   0.00163236  -0.00926505 
         -30      13.8307     0.999961   0.00163243   -0.0092648 
         -30      13.8952      0.99996   0.00163305   -0.0092646 
         -30        13.96      0.99996   0.00163345  -0.00926437 
         -30      14.0248      0.99996    0.0016337  -0.00926412 
         -30      14.0898      0.99996   0.00163386  -0.00926386 
         -30       14.155     0.999961   0.00163396   -0.0092636 
         -30      14.2203     0.999961   0.00163404  -0.00926333 
         -30      14.2857     0.999962   0.00163412  -0.00926306 
         -30      14.3513     0.999962   0.00163421  -0.00926279 
         -30      14.4171     0.999962   0.00163433  -0.00926252 
         -30       14.483     0.999961   0.00163448  -0.00926226 
         -30      14.5491     0.999961   0.00163466  -0.00926199 
         -30      14.6153     0.999961   0.00163487  -0.00926173 
         -30      14.6816     0.999961   0.00163512  -0.00926146 
         -30      14.7481     0.999961    0.0016354   -0.0092612 
         -30      14.8148     0.999961    0.0016357  -0.00926093 
         -30      14.8816     0.999961   0.00163602  -0.00926067 
         -30      14.9486     0.999961   0.00163636   -0.0092604 
         -30      15.0157     0.999961   0.00163672  -0.00926012 
         -30      15.0829     0.999961    0.0016371  -0.00925984 
         -30      15.1503     0.999962   0.00163749  -0.00925954 
         -30      15.2179     0.999962   0.00163769  -0.00925932 
         -30      15.2856     0.999962   0.00163777  -0.00925913 
         -30      15.3535     0.999963   0.00163787  -0.00925892 
         -30      15.4215     0.999963   0.00163799  -0.00925869 
         -30      15.4896     0.999963   0.00163813  -0.00925844 
         -30      15.5579     0.999964   0.00163829  -0.00925817 
         -30      15.6264     0.999964   0.00163846  -0.00925789 
         -30       15.695     0.999964   0.00163864  -0.00925761 
         -30      15.7638     0.999965   0.00163884  -0.00925731 
         -30      15.8327     0.999965   0.00163904  -0.00925701 
         -30      15.9018     0.999965   0.00163926  -0.00925671 
         -30       15.971     0.999965   0.00163948  -0.00925641 
         -30      16.0403     0.999965   0.00163971  -0.00925611 
         -30      16.1098     0.999965   0.00163994  -0.00925582 
         -30      16.1795     0.999965   0.00164018  -0.00925553 
         -30      16.2493     0.999965    0.0016404  -0.00925525 
         -30      16.3193     0.999965   0.00164063  -0.00925497 
         -30      16.3894     0.999965   0.00164084   -0.0092547 
         -30      16.4597     0.999965   0.00164104  -0.00925444 
         -30      16.5301     0.999965   0.00164123  -0.00925418 
         -30      16.6007     0.999965   0.00164141  -0.00925392 
         -30      16.6714     0.999964   0.00164157  -0.00925367 
         -30      16.7422     0.999964   0.00164173  -0.00925342 
         -30      16.8133     0.999964   0.00164189  -0.00925316 
         -30      16.8844     0.999964   0.00164205  -0.00925291 
         -30      16.9557     0.999965   0.00164223  -0.00925265 
         -30      17.0272     0.999965   0.00164242  -0.00925238 
         -30      17.0988     0.999965   0.00164265  -0.00925212 
         -30      17.1706     0.999965    0.0016429  -0.00925185 
         -30      17.2425     0.999966   0.00164318  -0.00925158 
         -30      17.3146     0.999966   0.00164349  -0.00925131 
         -30      17.3868     0.999966    0.0016438  -0.00925106 
         -30      17.4592     0.999966   0.00164408  -0.00925082 
         -30      17.5317     0.999965   0.00164428  -0.00925061 
